,Name,Year,Game,FGp,FTp,3Pp,ORBp,ASTp,BLKp,DRBp,STLp
0,A.C. Green,1986,82.0,0.54,0.61,0.17,12.4,4.2,1.7,15.5,1.5
1,A.C. Green,1987,79.0,0.54,0.78,0.0,11.2,4.6,2.0,18.8,1.5
2,A.C. Green,1988,82.0,0.5,0.77,0.0,11.1,4.5,1.0,19.1,1.6
3,A.C. Green,1989,82.0,0.53,0.79,0.24,12.3,5.5,1.2,20.0,1.8
4,A.C. Green,1990,82.0,0.48,0.75,0.28,11.5,4.6,1.1,18.4,1.2
5,A.C. Green,1991,82.0,0.48,0.74,0.2,11.3,4.5,0.6,16.2,1.4
6,A.C. Green,1992,82.0,0.48,0.74,0.21,11.8,6.0,0.8,18.2,1.6
7,A.C. Green,1993,82.0,0.54,0.74,0.35,11.5,5.9,0.9,17.3,1.6
8,A.C. Green,1994,82.0,0.5,0.74,0.23,11.1,6.9,0.8,18.8,1.2
9,A.C. Green,1995,82.0,0.5,0.73,0.34,8.3,6.5,0.8,20.4,1.0
10,A.C. Green,1996,82.0,0.48,0.71,0.27,9.2,4.9,0.8,20.9,1.1
11,A.C. Green,1997,55.33,0.48,0.65,0.04,9.47,4.43,0.4,20.9,1.53
12,A.C. Green,1998,82.0,0.45,0.72,0.0,9.0,7.3,0.7,19.3,1.6
13,A.C. Green,1999,50.0,0.42,0.58,0.0,9.9,4.5,0.6,17.8,1.6
14,A.C. Green,2000,82.0,0.45,0.7,0.25,9.0,5.9,0.7,17.9,1.4
15,A.C. Green,2001,82.0,0.44,0.71,0.0,9.0,4.8,0.4,17.3,1.2
16,A.J. English,1991,70.0,0.44,0.71,0.1,5.0,18.0,0.6,6.2,0.9
17,A.J. English,1992,81.0,0.43,0.84,0.18,4.8,13.7,0.3,6.3,0.9
18,A.J. Guyton,2001,33.0,0.41,0.83,0.39,1.8,18.1,0.6,5.1,0.8
19,A.J. Guyton,2002,45.0,0.36,0.82,0.37,2.3,23.6,0.9,6.3,0.9
20,A.J. Hammons,2017,22.0,0.4,0.45,0.5,5.4,3.8,7.2,20.9,0.3
21,A.J. Price,2010,56.0,0.41,0.8,0.34,1.5,20.5,0.2,9.7,2.0
22,A.J. Price,2011,50.0,0.36,0.67,0.28,2.3,22.7,0.1,7.8,1.8
23,A.J. Price,2012,44.0,0.34,0.8,0.3,2.6,23.9,0.3,9.4,1.9
24,A.J. Price,2013,57.0,0.39,0.79,0.35,1.7,26.4,0.2,8.2,1.3
25,A.J. Price,2014,28.0,0.41,0.0,0.27,1.1,21.5,0.0,10.2,0.5
